City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
541,irymple,-34.25,142.1667,35.7,12,100,1.86,AU,1706942821
542,nchelenge,-9.3451,28.734,22.36,85,84,1.72,ZM,1706942821
543,punta del este,-34.9667,-54.95,22.06,89,20,5.14,UY,1706942821
544,barra de santo antonio,-9.4047,-35.5072,24.6,81,13,3.49,BR,1706942821
545,aketi,2.7388,23.7833,25.84,26,63,1.26,CD,1706942821
546,bridgetown,13.1,-59.6167,26.27,83,20,4.12,BB,1706942544
547,idri,27.5,13.2667,9.33,40,5,1.1,LY,1706942822
548,montrose,38.4166,-108.2673,-3.33,89,100,2.18,US,1706942822
549,miguel ahumada,30.6167,-106.5167,7.76,55,9,9.44,MX,1706942822
550,dakhla,23.6848,-15.958,18.01,34,1,2.57,EH,1706942822
551,kayangel,8.0823,134.7173,27.68,83,98,9.38,PW,1706942823
552,tofol,5.3248,163.0078,28.13,83,100,8.87,FM,1706942823
553,atherton,53.5237,-2.4935,11.5,93,82,2.68,GB,1706942823
554,weno,7.4515,151.8468,27.97,89,100,7.72,FM,1706942823
555,embu,-23.6489,-46.8522,19.86,90,98,1.51,BR,1706942823
556,markala,13.7021,-6.0659,19.33,20,24,3.9,ML,1706942824
557,la romana,18.4273,-68.9728,22.14,76,93,2.4,DO,1706942824
558,kudahuvadhoo,2.6708,72.8944,27.91,77,85,6.14,MV,1706942824
559,kristiansund,63.1115,7.732,3.36,81,75,11.83,NO,1706942824
560,phan rang-thap cham,11.5667,108.9833,31.06,47,7,7.34,VN,1706942824
561,tsiombe,-25.3,45.4833,28.91,51,4,4.93,MG,1706942825
562,bonner,48.8333,-117.0013,3.49,99,100,0.96,US,1706942671
563,east ballina,-28.8667,153.5833,27.11,78,83,4.99,AU,1706942825
564,kupang,-10.1667,123.5833,31.32,84,40,4.63,ID,1706942775
565,khatima,28.9167,79.9667,19.16,21,2,4.24,IN,1706942825
566,kingston,17.997,-76.7936,25.53,85,75,3.09,JM,1706942732
567,jamiltepec,16.2833,-97.8167,19.79,92,5,1.65,MX,1706942826
568,al hudaydah,14.7978,42.9545,25.67,74,100,6.51,YE,1706942826
569,palmital,-22.7889,-50.2175,18.1,94,29,2.71,BR,1706942826
570,banjar,-8.19,114.9675,29.9,73,99,1.88,ID,1706942826
571,tazovsky,67.4667,78.7,-13.06,92,100,4.59,RU,1706942827
572,shihezi,44.3,86.0333,-7.34,90,100,1.74,CN,1706942827
573,namtsy,62.7161,129.6658,-34.81,100,93,0.79,RU,1706942827
574,sao joao da barra,-21.6403,-41.0511,22.77,94,100,1.81,BR,1706942828
575,alaghsas,17.0187,8.0168,11.94,20,0,5.14,NE,1706942828
576,didwana,27.4,74.5667,24.4,33,100,5.22,IN,1706942828
577,fort william,56.8165,-5.1121,6.84,86,100,4.85,GB,1706942828
578,kos,36.8933,27.2889,11.69,64,87,6.09,GR,1706942828
579,murun-kuren,49.6342,100.1625,-13.21,75,100,0.57,MN,1706942829
580,altai,46.3722,96.2583,-11.91,79,100,1.92,MN,1706942829
581,culiacan,24.7994,-107.3897,14.98,89,0,1.1,MX,1706942829
582,pacific grove,36.6177,-121.9166,9.81,86,100,2.57,US,1706942619
583,igbor,7.4527,8.6098,23.7,22,3,4.03,NG,1706942830
584,guerrero negro,27.9769,-114.0611,15.32,62,0,7.25,MX,1706942830
585,swakopmund,-22.6833,14.5333,19.47,90,77,1.79,NA,1706942830
586,neuhofen,49.4278,8.4247,8.36,85,100,2.57,DE,1706942830
587,ghadamis,30.1337,9.5007,8.93,53,18,2.79,LY,1706942831
588,monrovia,6.3005,-10.7969,26.03,89,17,2.6,LR,1706942831
